"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2020F","TX","CLISB"," 30714"," 23885"," 24200"," 59623"," 60349"," 77652"," 62907"," 55737"," 61236"," 83619"," 63339"," 91352"," 83157"," 65807"," 91992"," 84552"," 72234"," 61884"," 52170"," 62262"," 61481"," 63187"," 60465"," 70882"," 82842"," 63674"," 73751"," 74119"," 62929"," 62567"," 73098"," 75464"," 71627"," 72494"," 70937"," 70078"," 70919"," 40433"," 38976"," 17063"," 13828"," 19450"," 19846"," 21613"," 27480"," 20417"," 13804"," 12513"," 10752"," 9896"," 6128"
"2020F","TX","CLKCD"," .38"," .44"," .57"," .66"," 1.23"," 1.6"," 1.67"," 1.76"," 1.89"," 1.75"," 1.81"," 2.03"," 2.04"," 1.58"," 1.91"," 1.93"," 1.75"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","CLKCV"," 11.6"," 10.2"," 13.4"," 17.6"," 29.9"," 41"," 27.9"," 31.3"," 20.4"," 52.8"," 47.9"," 37.8"," 21"," .5"," 25.6"," 20.9"," 3.6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","CLOCD"," .86"," .76"," .9"," .84"," 1.31"," 1.01"," 1.84"," 1.66"," 2.06"," 2.28"," .89"," 1.48"," 1.68"," 1.71"," 1.75"," 1.6"," 1.51"," 1.27"," 1.31"," 1.27"," 1.14"," 1.24"," 1.27"," 1.16"," 1.26"," 1.25"," 1.24"," 1.29"," 1.48"," 1.48"," 1.26"," 1.38"," 1.27"," 1.28"," 1.42"," 1.54"," 1.89"," 2.47"," 2.79"," 3.9"," 5.05"," 3.82"," 3.95"," 3.87"," 3.81"," 3.99"," 3.99"," 3.69"," 4.3"," 4.32"," 4.2"
"2020F","TX","CLOCV"," .2"," .5"," .6"," 27.6"," 47.1"," 52.3"," 85"," 63.1"," 103.8"," 122"," 32.9"," 107.6"," 122.2"," 112"," 137.2"," 118"," 105.7"," 78.4"," 68.3"," 78.9"," 69.8"," 78.1"," 76.7"," 82.1"," 104.6"," 79.8"," 91.3"," 96"," 93.1"," 92.4"," 92.3"," 104.2"," 91.2"," 92.6"," 100.6"," 108.1"," 133.9"," 100.1"," 108.7"," 66.5"," 69.8"," 74.2"," 78.5"," 83.6"," 104.6"," 81.4"," 55.1"," 46.1"," 46.3"," 42.7"," 25.8"
"2020F","TX","CLOSB"," 218"," 694"," 667"," 33019"," 35921"," 52039"," 46182"," 37903"," 50420"," 53535"," 36861"," 72753"," 72893"," 65512"," 78619"," 73725"," 70170"," 61884"," 52170"," 62262"," 61481"," 63187"," 60465"," 70882"," 82842"," 63674"," 73751"," 74119"," 62929"," 62567"," 73098"," 75464"," 71627"," 72494"," 70937"," 70078"," 70919"," 40433"," 38976"," 17063"," 13828"," 19450"," 19846"," 21613"," 27480"," 20417"," 13804"," 12513"," 10752"," 9896"," 6128"
"2020F","TX","CLRCD"," .9"," .84"," .98"," 1.48"," 1.07"," 0"," 0"," 1.61"," 0"," 0"," 2.54"," 3.42"," 3.18"," 0"," 0"," 2.83"," 2.78"," 2.4"," 2.12"," 2.43"," 2.41"," 2.36"," 2.43"," 2.16"," 2.25"," 0"," 0"," 2.14"," 2.1"," 2.05"," 2.13"," 2.25"," 2.43"," 2.24"," 2.12"," 2.45"," 3.73"," 2.94"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","CLRCV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," .1"," .1"," 0"," 0"," .1"," .2"," .4"," .5"," .2"," .1"," .1"," .1"," 0"," 0"," 0"," 0"," 0"," .1"," 0"," 0"," .1"," .4"," .8"," .1"," .1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","CLRFB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 66"," 608"," 82"," 1088"," 855"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","CLSCB"," 30767"," 24048"," 50140"," 125909"," 133141"," 196172"," 226342"," 288187"," 418438"," 587642"," 734145"," 858448"," 930457"," 1016676"," 1073780"," 1148143"," 1162745"," 1203925"," 1264113"," 1335906"," 1333671"," 1333449"," 1324063"," 1430676"," 1389409"," 1364800"," 1485577"," 1523201"," 1488589"," 1530426"," 1548184"," 1492977"," 1550325"," 1603971"," 1626029"," 1627863"," 1610301"," 1609155"," 1605925"," 1497854"," 1568060"," 1695239"," 1498818"," 1597357"," 1585961"," 1340422"," 1323111"," 1451978"," 1189311"," 992721"," 872845"
